Writing	Readings	Meanings
ガス状惑星	ガスじょうわくせい	[n.] gas giant (e.g. Jupiter, Saturn); gas planet
知り合う	しりあう	[v5u.; vi.] to get to know (someone); to make acquaintance
繰り返し	くりかえし	[n.; suru; no-n.; adjn..] repetition; repeat; reiteration; iteration; refrain; cycle // [advn.] repeatedly
寝れる	ねれる	[v1.; vi.] to be able to sleep
切っ掛け	きっかけ,キッカケ	[n.; us. kana] chance; start; cue; excuse; motive; impetus; occasion
切っ掛けに	きっかけに	[phrase; us. kana] with ... as a start; taking advantage of; inspired by
曲目	きょくもく	[n.] program; programme; musical selection; tunes
気が進まない	きがすすまない	[phrase; adj.] reluctant to; not inclined to; disinclined; unwilling
ぎりぎり	ぎりぎり,ギリギリ	[adjn..; adv.; ono.] at the last moment; just barely // [n.] grinding sound
要塞	ようさい	[n.] fort; stronghold; fortification
一晩中	ひとばんじゅう	[n.; advn.] all night long; all through the night
綴り方	つづりかた	[n.] (way of) literary composition // [n.] (way of) spelling // [n.] school composition
魂	こん	[n.] soul; spirit // [n.] Yang energy; spirit
贅沢	ぜいたく	[adjn..; n.] luxury; extravagance // [suru] to live in luxury
唯一	ゆいいつ,ゆいつ	[no-n.; adv.] only; sole; unique
抱っこ	だっこ	[n.; suru; child] (child's) hug; carrying a baby in one's arms; carrying a pet in one's arms
抱っこする		
紐	ひも	[n.] string; cord // [n.] man who is financially dependent on a woman (such as a gigolo or, in the case of a prostitute, a pimp); pimp
辞典	じてん,ことばてん	[n.] dictionary
辞める	やめる	[v1.; vt.] to resign; to retire; to quit; to leave (one's job, etc.)
印象	いんしょう	[n.; suru] impression
総まとめ	そうまとめ	[n.] overall summary; (e.g. news) roundup
纏め	まとめ	[n.; us. kana] settlement; conclusion; summary
総人口	そうじんこう	[n.] total population
割り込む	わりこむ	[v5mu.; vt.] to cut in; to thrust oneself into; to wedge oneself in; to muscle in on; to interrupt; to disturb
邪魔	じゃま	[adjn..; n.; suru] hindrance; obstacle; nuisance // [suru] to visit (somebody's home) // [n.] demon who hinders Buddhist training; demon who obstructs sentient beings from maintaining moral behaviour
邪魔する		
表面	ひょうめん	[n.; no-n.] surface; face // [n.] outside; exterior // [n.] appearances; superficiality
着せ替える	きせかえる	[v1.; vt.] to change clothes (on someone else, e.g. child, doll); to change the wallpaper or skin (of a smart phone, etc.)
着せ替え人形	きせかえにんぎょう	[n.] dress-up doll
遺産	いさん	[n.] inheritance; bequest; legacy; heritage
世界遺産	せかいいさん	[n.] World Heritage (cultural, natural, etc.); World Cultural and Natural Heritage (UNESCO)
文化的	ぶんかてき	[adjn..] cultural
届ける	とどける	[v1.; vt.] to deliver; to forward; to send // [n.] to report; to notify; to file notice (to the authorities); to give notice; to register
解凍	かいとう	[n.; suru] thaw; defrosting // [n.] decompression (e.g. of a file); unpacking; extracting; unzipping
文頭	ぶんとう	[n.] start of a sentence, phrase, etc.
冗長	じょうちょう	[adjn..; n.] tedious; verbose; prolix // [n.] redundancy
伝える	つたえる	[v1.; vt.] to convey; to report; to transmit; to communicate; to tell; to impart; to propagate; to teach; to bequeath
省く	はぶく	[v5ku.; vt.] to omit; to leave out; to exclude; to eliminate // [n.] to curtail; to save; to cut down; to economize; to economise
対応	たいおう	[n.; suru] interaction; correspondence; coping with; dealing with; support; response; reception // [n.] software support; ability of a computer system to run specific software; compatibility
直接	ちょくせつ	[adjn..; advn.; no-n.] direct; immediate; personal; firsthand
迷惑	めいわく,べいこく	[adjn..; n.] trouble; bother; annoyance
映じる	えいじる	[v1.; vi.] to be reflected (in); to be mirrored (in) // [n.] to impress (a person)
反映	はんえい	[n.; suru] reflection (light, image, situation, attitude, etc.); reflecting // [n.] influence; application (e.g. of an update)
見合う	みあう	[v5u.] to exchange glances // [n.] to correspond; to counterbalance
弾く	ひく	[v5ku.; vt.; us. kana] to flip; to snap; to flick // [us. kana] to repel // [us. kana] to use (an abacus); to calculate // [us. kana] to strum; to pluck the strings (of a guitar, etc.) // [v5ku.; vt.] to play (piano, guitar)
実際に	じっさいに	[adv.] virtually; practically; in practice; actually // [n.] currently; presently
逆さ	さかさ	[n.; no-n.] reverse; inversion; upside down
映像	えいぞう	[n.; no-n.] reflection; image; picture (e.g. on a television); shot // [n.] video; film; footage; clip; video recording // [n.] image in one's mind; mental picture
汚れる	よごれる	[v1.; vi.] to be violated; to be corrupted; to be polluted; to be stained // [v1.; vi.] to get dirty; to become dirty // [n.] to become sullied; to become corrupted; to lose one's chastity
汚す	よごす,けがす	[v5su.; vt.] to pollute; to contaminate; to soil; to make dirty; to stain // [n.] to disgrace; to dishonour; to dishonor; to defile
駄洒落	だじゃれ,ダジャレ	[n.; us. kana] feeble joke; bad pun
鼠取り	ねずみとり,ネズミとり	[n.] mousetrap; rattrap // [n.] rat poison // [coll.] speed trap
惜しい	おしい	[adj.] regrettable; disappointing // [n.] precious; dear; valuable // [n.] too good for; deserving better // [n.] almost but not quite
愛	まな	[n.; sufn.] love; affection; care // [n.] attachment; craving; desire // [pref.] beloved; dear
平和	ピンフ,ピンホー	[adjn..; n.] peace; harmony // [n.] concealed winning hand consisting of chows, a pair that isn't a value pair, and an open wait
齎す	もたらす	[v5su.; us. kana] to bring; to take; to bring about
そっくり		[adv.; ono.] all; altogether; entirely; completely // [adjn..; ono.] exactly like; just like
受け取る	うけとる	[v5ru.; vt.] to receive; to get; to accept // [n.] to take; to interpret; to understand
輝く	かがやく	[v5ku.] to shine; to glitter; to sparkle
光る	ひかる	[v5ru.; vi.] to shine; to glitter; to be bright
お洒落	おしゃれ,オシャレ	[adjn..; no-n.; us. kana] smartly dressed; stylish; fashion-conscious // [n.; us. kana] someone smartly dressed // [suru; us. kana] to dress up; to be fashionable
変身	へんしん	[n.; suru] metamorphosis; disguise; transformation; shapeshifting; morphing
任せる	まかせる	[v1.; vt.] to entrust (e.g. a task) to another; to leave to // [n.] to passively leave to someone else's facilities // [n.] to leave to take its natural course // [n.] to continue (something) in a natural fashion (without particular aim) // [n.] to rely fully on one's (full strength, great ability, long time taken) to get something done
透明	とうめい	[adjn..; no-n.; n.] transparency; cleanness
色づく	いろづく	[v5ku.; vi.] to change color (esp. leaves, fruit, flowers) (colour) // [n.] to turn crimson (e.g. leaves in autumn); to begin to redden // [n.] to ripen; to grow ripe
伝説	でんせつ	[n.] tradition; legend; folklore
注入	ちゅうにゅう	[n.; suru] pouring; injection
七色	なないろ,しちしょく	[n.] the seven prismatic colors (colours)
きらきら	きらきら,キラキラ	[adv.; to-adv.; suru; ono.] glitter; sparkle; glisten; twinkle
哀しみ	かなしみ	[n.] sadness; sorrow; grief // [arch.] affection; love
証拠	しょうこ	[n.] evidence; proof
独り	ひとり,いちにん	[n.] one person // [n.] alone; unmarried; solitary
最強	さいきょう	[n.; no-n.] strongest
恋	こい	[n.] (romantic) love
起き上がる	おきあがる	[v5ru.; vi.] to rise; to erect; to get up
画質	がしつ	[n.] image quality (film, video, etc.)
向け	むけ	[sufn.] intended for ...; oriented towards ...; aimed at ...
上旬	じょうじゅん	[advn.; tempn.] first 10 days of month
中旬	ちゅうじゅん	[advn.; tempn.] middle of a month; second third of a month; 11th to 20th day of a month
下旬	げじゅん	[advn.; tempn.] last third of a month; 21st to the last day of a month
第	だい	[n.; pref.] ordinal
第三者	だいさんしゃ	[n.] third party; third person; outsider; disinterested person
祝日	しゅくじつ	[n.; no-n.] national holiday; public holiday
ただし		[conj.; us. kana] but; however; provided that
尚	なお	[adv.; conj.; us. kana] furthermore; still; yet; more; still more; in addition; greater; further
女子	めこ,メコ	[n.; no-n.] woman; girl // [n.; us. kana; arch.; slang] vagina // [us. kana] girl
男子	だんし	[n.] youth; young man
中央	ちゅうおう	[n.; no-n.] centre; center; middle; heart // [n.] metropolis; capital city; central government
中央図書館		
問い	とい	[n.] question; query
開館	かいかん	[n.; suru] opening a hall for that day's business (museum, library, etc.) // [n.] opening of new hall (museum, etc.)
開館時間		
休館日	きゅうかんび	[n.] day on which a museum, etc. is regularly closed; closed day
児童室		
使用	しよう	[n.; suru] use; application; employment; utilization; utilisation
重なる	おもなる	[v5ru.; vi.] to be piled up; to lie on top of one another // [n.] to come one after another; to happen over and over; to pile up (e.g. stress); to accumulate // [n.] to overlap (each other); to occur at the same time; to happen simultaneously // [n./prenv.] main; principal; important
電気工事	でんきこうじ	[n.] electrical work
臨時	りんじ	[n.; no-n.] temporary; special; extraordinary
利用	りよう	[n.; suru] use; utilization; utilisation; application
翌日	よくじつ	[advn.; tempn.] next day
閉館	へいかん	[n.; suru] closing of a building
独学	どくがく	[n.; suru; no-n.] self-education; self-instruction; self-study
抹茶	まっちゃ	[n.] matcha; powdered green tea
匂い	におい	[n.] odour; odor; scent; smell; stench // [n.] aura; whiff; smacks of ...; sense; flavour; flavor
匂う	におう	[v5u.; vi.] to be fragrant; to smell (good) // [n.] to stink; to smell (bad) // [n.] to glow; to be bright // [n.] to smack of; to show hints of
主義	しゅぎ	[n.] doctrine; rule; principle; -ism
躾	しつけ	[n.; no-n.; us. kana] discipline; training; teaching manners
仕付け	しつけ	[n.] tacking (in needlework); basting // [n.] planting (esp. rice seedlings) // [n.] discipline; training; teaching manners
仕付ける	しつける	[v1.; vt.; us. kana] to be used to; to get accustomed to; to be in the habit of doing // [us. kana] to train; to discipline; to teach manners // [us. kana] to tack (in needlework); to baste // [us. kana] to plant (esp. rice seedlings)
方向	ほうこう	[n.] direction; orientation; bearing; way // [n.] course (e.g. of action)
四つ角	よつかど	[n.] four corners; crossroads
斜め	ななめ,なのめ	[no-n.; adjn..; n.] slanting; tilted; sloping; diagonal; oblique // [n.] unusual; slanted (view of the world); bad (mood)
手前	てめえ	[n.] before; this side // [n.] one's standpoint; one's appearance // [pron.; no-n.] we // [n.] you // [pron.; no-n.; us. kana; vulg.; male] you (used by young males) // [n.] oneself
有料駐車場	ゆうりょうちゅうしゃじょう	[n.] toll parking lot; toll car park
突き当たり	つきあたり	[n.] end (e.g. of street, hallway, etc.)
前方	まえかた	[n.; no-n.] forward; frontward // [n.] rectangular front // [adv.; n.] previously; some time ago
後方	こうほう	[n.; no-n.] behind; in the rear; in back
右折する		
左折する		
徒歩	かち	[n.; no-n.] walking; going on foot // [n.] foot soldier (Edo period); samurai on foot // [arch.] going on foot; walking
面する	めんする	[vsuruspec.] to face on; to look out on to
一方通行	いっぽうつうこう	[n.; no-n.] one-way traffic
会話文		
説明会	せつめいかい	[n.] information session; briefing; explanatory meeting
案内図	あんないず	[n.] guide map
地下	ちか	[n.; no-n.] basement; cellar; underground place // [pref.] underground; below ground // [n.] secret; under cover // [n.; coll.; abbr.] underground (railway); subway; metro
軒	けん	[n.] eaves // [n.] narrow aisle surrounding the core of a temple building // [suffix; cnt.] counter for buildings (esp. houses) // [suffix] suffix for a pen name, stage name, etc.
